question,answer,category,source
我可以在 Azure 创建 Windows Server 2003 的虚拟机吗？,"官方支持的 Windows Server 虚拟机模板为：

客户可以自己在本地使用 Hyper-V 创建 Server 2003 的虚拟机模板至 Azure 云端，但是如果这个虚拟机出现问题，就没有办法获得微软官方的支持。",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-7
"微软的 Exchange, Skype, SharePoint 支持部署在Azure 云端吗？","SharePoint 虚拟机模板是可以在 Azure 虚拟机模板上选择的，可以得到微软的官方支持。Exchange Server, Skype Server 用户可以自定义上传，但是无法获得微软官方的支持。",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-8
负载均衡的机制是什么？,"Azure 负载均衡器是基于第 4 层 (TCP、UDP)的负载均衡器，可在负载均衡集中定义的运行状况良好的服务实例之间分配传入流量，从而提高应用程序的可用性和网络性能。

可以将 Azure 负载均衡器配置：

更多有关  Azure 负载均衡器的详细信息，请参阅<a href=""//docs.azure.cn/zh-cn/load-balancer/load-balancer-overview"">Azure 负载均衡器概述</a>。",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-9
如何做好数据备份？,"Azure 备份提供两种类型的复制：本地冗余存储和异地冗余存储。本地冗余存储 (LRS) 将同一区域的配对数据中心内的数据复制三次（创建三个数据副本）。异地冗余存储 (GRS) 将数据复制到源数据主位置数公里之外的次要区域中。为了防止因为一个区域的灾难影响存储服务临时不可用，我们建议客户使用读取访问异地冗余存储 (RA-GRS)方式复制数据，这样当主区域存储账户不可用时，可以从次要区域访问数据。

下表是 Azure 中各种数据服务的备份和容灾能力以及备份方式说明：",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-10
我在创建相关服务（云计算）时，是否可以选择其 VIP 地址的区域（中国东部，中国北部）？,VIP 地址是根据客户创建相关服务时选择的区域（中国北部，中国东部）来决定的，从 Microsoft 管理的 IP 地址池中随机分配的。例如，客户选择的是 China North，那么会优先分配中国北部区域的IP地址。,执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-11
使用虚拟机运行业务应用有什么需要注意的地方?,"Azure 会周期性地更新主机环境，以确保平台上运行的所有应用程序和虚拟机始终处于安全的环境。此更新过程可能会导致您的虚拟机重新启动。虚拟机重新启动的过程中会导致运行在此虚拟机上的应用程序离线。

虚拟机迁移时可能会发生数据丢失情况。虚拟机迁移的一些原因如下：

为确保托管在 Azure 虚拟机中的应用程序/服务的高可用性，我们建议：

1. 在可用性集中使用多个虚拟机。

2. 将应用程序的所有组件（前端界面/应用逻辑/数据存储等）实现为高可用结构，每一组件都部署在可用性集中的多台虚拟机中，应用部署涉及的任何一台虚拟机单独离线都不应造成整个系统完全离线。

3. 在关键业务应用部署到 Azure 虚拟机之后针对虚拟机重启可能带来的影响对应用进行全面测试。 

了解更多信息，请参阅以下链接：

<a href=""//docs.azure.cn/virtual-machines/windows/manage-availability"">在 Azure 中管理 Windows 虚拟机的可用性</a>

<a href=""//blogs.msdn.microsoft.com/azchina/2014/04/18/azure-vm/"">Azure VM 为何会重新启动</a>

<a href=""/support/faq/"">服务级别协议</a>",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-12
关于使用虚拟机存储应用数据有什么需要注意的地方吗？,"Azure 虚拟机磁盘中包含一个临时盘, D：磁盘 ( Windows ) 或者 /dev/sdb1 ( Linux ) 。它们仅提供临时暂存，其上存储的数据在某些情况下可能会丢失且完全无法恢复。建议您不要用该磁盘保存需要持久化存储的数据。用户必须自行承担由此导致的丢失数据的风险。 临时盘数据丢失通常发生在虚拟机迁移到不同主机上时。虚拟机迁移的一些原因包括调整虚拟机大小、更新主机或主机上硬件故障。虚拟机迁移发生的时间不可预知， 且很可能发生在客户未进行任何操作的情况下。所以我们建议您不要用该磁盘保存需要持久化存储的数据。了解更多有关虚拟机磁盘以及虚拟机高可用性的信息，请参考以下链接：

<a href=""//docs.azure.cn/virtual-machines/windows/about-disks-and-vhds"">关于 Azure Windows VM 的磁盘存储</a>

<a href=""//docs.azure.cn/virtual-machines/windows/manage-availability"">在 Azure 中管理 Windows 虚拟机的可用性</a>

<a href=""//blogs.msdn.microsoft.com/azchina/2014/04/18/azure-vm/"">Azure VM 为何会重新启动</a>

<a href=""/support/faq/"">服务级别协议</a>",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-13
如何将虚拟机添加到虚拟网络？将虚拟机放入虚拟机网络与不建虚拟机网络的区别？如何将已有虚拟机放入新建虚拟网络？,"首先，创建一个虚拟网络，然后在创建虚拟机时，选择之前创建的虚拟网络，将虚拟机添加到虚拟网络中。详细步骤请参阅<a href=""//docs.azure.cn/virtual-network/virtual-network-get-started-vnet-subnet"">如何将虚拟机添加到虚拟网络</a>。

虚拟机放入虚拟网络后可以保证虚拟机间通过内网通信，而且可以配置 P2S S2S VPN等高级功能。

如果虚拟机在建立时没有加入虚拟网络，则之后无法将其加入一个虚拟网络。目前只能删除该虚拟机（选择保留数据磁盘），利用保留的数据磁盘的重新创建一个虚拟机，并在创建 此虚拟机时选择加入到已有的虚拟网络中。",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-14
Azure 平台支持的客户自定义 Windows 及 Linux系统的版本？,"详情请参阅：<a id=""FAQ-31"" href=""//docs.azure.cn/virtual-machines/windows/create-vm-specialized/"">从专用磁盘创建 Windows VM</a>以及<a id=""FAQ-32"" href=""//docs.azure.cn/virtual-machines/linux/endorsed-distros/"">Azure 认可的 Linux 发行版</a>。",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-15
Azure Site to Site VPN 客户本地网络设备的支持列表？,"请参阅<a id=""FAQ-33"" href=""//docs.azure.cn/vpn-gateway/vpn-gateway-about-vpn-devices/""> Site to Site VPN</a>信息。",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-16
Azure 端如何配置可以从公网访问虚拟机中部署的网站？,Azure 虚拟机默认只开放对应 VIP 地址的有限端口，用于远程连接或管理。新建网站如果需要通过虚拟 IP 地址某端口访问，则需要在该虚拟机上添加此服务终端节点（Endpoint）。此操作可以通过 Azure 管理门户网站或通过 PowerShell 进行。,执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-17
什么是可用性集？如何使用可用性集提高应用的可用性？,"可用性集是一种逻辑分组功能，在 Azure 中使用它可以确保将 VM 资源部署在 Azure 数据中心后，这些资源相互隔离。 

Azure 确保可用性集中部署的 VM 能够跨多个物理服务器、计算机架、存储单元和网络交换机运行。 如果出现硬件或 Azure 软件故障、 VM 更新和应用程序更新，只有一部分 VM 会受到影响，整体应用程序仍会保持运行，可供客户使用。

更多详细信息请参阅<a href=""//docs.azure.cn/zh-cn/articles/training/azure-iaas-user-manual-part1"">Azure IaaS 用户手册</a>以及<a href=""//docs.azure.cn/zh-cn/virtual-machines/windows/tutorial-availability-sets"">如何使用可用性集</a>。",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-18
Azure 存储服务安全性如何？,"Azure 存储服务会分配给用户两个访问密钥：主访问密钥和辅助访问密钥。该访问密钥是256个字节的字符串，用户使用该访问密钥来验证每一个对 Azure 存储服务的数据访问请求。

两个访问密钥的功能相同都可以访问数据。之所以有两个是为了方便用户切换访问密钥。比如，在通常情况下用户使用主访问密钥，如果一旦主访问密钥被泄露，用户可以把主访问密钥在最短的时间内失效(重新生成一个新的主访问密钥)，然后切换到使用辅访问密钥。用户不需要为此修改代码，而只需要更改服务配置文件即可，同时更新服务配置文件也没有宕机时间。此外，另外一种有效的做法是应用程序代码可以先使用主访问密钥来访问数据，如果验证失败，代码自动使用辅访问密钥，这样用户在切换访问密钥时就不会有宕机时间了。

为了进一步提高对 Blob 数据访问控制的灵活度，Azure 数据存储服务还提供了另外一种叫做 Shared Access Signature 的数据访问控制方式。使用 Shared Access Signature ，管理员可以为其他用户生成一个临时的数据访问请求，该临时数据访问请求包含有效的数字签名，所以它可以通过数据验证。该临时数据访问请求也包含该用户可以访问哪些数据和操作权限等信息，而且该临时数据访问请求只会在指定时间内有效。这样管理员既可以允许其他用户访问数据，又不会泄露访问密钥。",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-19
SQL Azure Database 与传统 SQL Server Database 有什么不同？,"尽管 SQL Server 和 Azure SQL Database 有时处理相同的应用程序工作负荷，但一个是采用软件许可模式的传统数据库服务器，而另一个是服务形式的云数据库，它在<span>世纪互联</span>的数据中心运行，以即付即用模式或承付款率计划模式提供。您可以通过这两种产品轻松选择最符合您的技术需求的平台和业务模型。

有关更多详细信息，请访问<a id=""FAQ-35"" href=""https://www.azure.cn/blog/2010/05/24/sql-azure-vs-sql-server"">SQL Azure</a>网页。",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-20
Azure 的数据冗余是如何保障的？,"我们提供异地冗余。中国北京及上海两个数据中心之间会有专线连接，这条专线是数据中心之间数据同步专用的。数据存储方面，Azure 提供了存储的四个冗余级别：

有关 Azure 冗余存储的详细信息，请参考<a href=""//docs.azure.cn/storage/common/storage-introduction"">Azure 存储简介</a>以及<a href=""/pricing/details/storage/"">价格详情</a>。",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-21
Azure 中存储的数据是否都是加密的？,关于数据加密， Azure 提供包括 AES-256 在内的各种加密功能，便于客户采用满足自己需求的最佳方法。,执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-22
Azure 在国内获得了哪些云和数据安全相关的认证？,"Azure 在国内获得了以下云和数据安全相关的认证：

世纪互联承诺每年基于 ISO/IEC 27001:2005（这是一种适用范围广泛的国际信息安全标准）进行认证。ISO/IEC 27001:2005 证书确认世纪互联已实施此标准中定义的国际上认可的信息安全控制措施，包括有关启动、实施、维护和改进组织中的信息安全管理的指南和一般原则。

ISO 范围：信息安全管理系统 ( ISMS ) ，其中包含了操作、安全和对商务流程管理。

该证书由<a id=""FAQ-26"" href=""http://www.cc.cesi.cn/"">北京赛西认证有限责任公司 ( CESI )</a>公开颁发。

世纪互联采用 Azure 领先的技术，以其强大的本地化运营能力，开放性的平台、高质量的SLA服务等级协议 （ Service Level Agreement ）、强大的数据恢复能力和最佳的客户收益， 成功地在首批获得对虚拟机和存储服务的可信云服务认证。

可信云服务认证是在工业和信息化部的指导下由云计算发展与政策论坛“可信云服务工作组”组织开展的云服务质量评估体系。该认证旨在培育国内公共云服务市场，增强用户对云服务的信心，保护正规云服务商，促进市场良性发展。

范围：以下功能处于当前审核范围内：虚拟机和云存储，接受了 SLA 服务协议框架内，包括数据管理、业务质量及权益保障三大类共16项指标的测评。其中，在运行的稳定性方面， 世纪互联提供的 Microsoft Azure 虚拟云主机和云存储服务达到了99.9%的 SLA 保证。",执行与维护,https://www.azure.cn/zh-cn/support/faq#q-4-23
